GEO_ID,NAME,P003001,P003002,P003003,P003004,P003005,P003006,P003007,P003008
Geography,Geographic Area Name,Total,Total!!White alone,Total!!Black or African American alone,Total!!American Indian and Alaska Native alone,Total!!Asian alone,Total!!Native Hawaiian and Other Pacific Islander alone,Total!!Some Other Race alone,Total!!Two or More Races
1400000US06085506803,"Census Tract 5068.03, Santa Clara County, California",6883,4960,76,27,926,14,500,380
1400000US06085506804,"Census Tract 5068.04, Santa Clara County, California",3629,2935,10,12,481,4,37,150
1400000US06085506900,"Census Tract 5069, Santa Clara County, California",7436,6091,38,14,851,15,73,354
1400000US06085507001,"Census Tract 5070.01, Santa Clara County, California",6504,5728,40,22,455,4,57,198
1400000US06085507002,"Census Tract 5070.02, Santa Clara County, California",2800,2455,21,2,186,1,23,112
1400000US06085507100,"Census Tract 5071, Santa Clara County, California",2683,2256,17,12,221,8,51,118
1400000US06085507203,"Census Tract 5072.03, Santa Clara County, California",2632,2003,23,8,414,1,45,138
1400000US06085507205,"Census Tract 5072.05, Santa Clara County, California",4475,3681,18,3,521,1,56,195
1400000US06085507206,"Census Tract 5072.06, Santa Clara County, California",2724,2177,10,11,410,0,23,93
1400000US06085507301,"Census Tract 5073.01, Santa Clara County, California",6555,4161,16,12,2105,4,45,212
1400000US06085507302,"Census Tract 5073.02, Santa Clara County, California",2725,1986,9,7,579,4,37,103
1400000US06085507401,"Census Tract 5074.01, Santa Clara County, California",5624,2323,14,4,3079,6,12,186
1400000US06085507402,"Census Tract 5074.02, Santa Clara County, California",3881,2481,22,4,1134,2,48,190
1400000US06085507500,"Census Tract 5075, Santa Clara County, California",5810,2486,10,0,3113,4,26,171
1400000US06085507600,"Census Tract 5076, Santa Clara County, California",5563,2962,15,9,2351,3,36,187
1400000US06085507701,"Census Tract 5077.01, Santa Clara County, California",4039,1389,12,5,2504,0,25,104
1400000US06085507702,"Census Tract 5077.02, Santa Clara County, California",6126,2080,16,6,3841,2,20,161
1400000US06085507703,"Census Tract 5077.03, Santa Clara County, California",7706,3356,36,15,3921,13,59,306
1400000US06085507805,"Census Tract 5078.05, Santa Clara County, California",5397,1810,45,23,3016,18,264,221
1400000US06085507806,"Census Tract 5078.06, Santa Clara County, California",5889,1137,23,15,4486,3,71,154
1400000US06085507807,"Census Tract 5078.07, Santa Clara County, California",3219,638,5,21,2443,3,12,97
