GEO_ID,NAME,H1_001N
Geography,Geographic Area Name, !!Total
1400000US06085508705,Census Tract 5087.05; Santa Clara County; California,1831
1400000US06085508706,Census Tract 5087.06; Santa Clara County; California,1883
1400000US06085508707,Census Tract 5087.07; Santa Clara County; California,1739
1400000US06085508708,Census Tract 5087.08; Santa Clara County; California,2413
1400000US06085508800,Census Tract 5088; Santa Clara County; California,1495
1400000US06085508900,Census Tract 5089; Santa Clara County; California,1749
1400000US06085509001,Census Tract 5090.01; Santa Clara County; California,1195
1400000US06085509002,Census Tract 5090.02; Santa Clara County; California,1424
1400000US06085509102,Census Tract 5091.02; Santa Clara County; California,2416
1400000US06085509106,Census Tract 5091.06; Santa Clara County; California,1956
1400000US06085509107,Census Tract 5091.07; Santa Clara County; California,2171
1400000US06085509108,Census Tract 5091.08; Santa Clara County; California,1972
1400000US06085509109,Census Tract 5091.09; Santa Clara County; California,2657
1400000US06085509110,Census Tract 5091.10; Santa Clara County; California,1641
1400000US06085509111,Census Tract 5091.11; Santa Clara County; California,1893
1400000US06085509201,Census Tract 5092.01; Santa Clara County; California,2762
1400000US06085509202,Census Tract 5092.02; Santa Clara County; California,1899
1400000US06085509302,Census Tract 5093.02; Santa Clara County; California,1283
1400000US06085509303,Census Tract 5093.03; Santa Clara County; California,1924
1400000US06085509304,Census Tract 5093.04; Santa Clara County; California,1370
1400000US06085509401,Census Tract 5094.01; Santa Clara County; California,2220
1400000US06085509403,Census Tract 5094.03; Santa Clara County; California,2293
1400000US06085509404,Census Tract 5094.04; Santa Clara County; California,3225
1400000US06085509500,Census Tract 5095; Santa Clara County; California,2560
1400000US06085509600,Census Tract 5096; Santa Clara County; California,1873
1400000US06085509700,Census Tract 5097; Santa Clara County; California,1505
1400000US06085509801,Census Tract 5098.01; Santa Clara County; California,2617
1400000US06085509802,Census Tract 5098.02; Santa Clara County; California,1144
1400000US06085509901,Census Tract 5099.01; Santa Clara County; California,768
1400000US06085509902,Census Tract 5099.02; Santa Clara County; California,1986
1400000US06085510001,Census Tract 5100.01; Santa Clara County; California,2137
1400000US06085510002,Census Tract 5100.02; Santa Clara County; California,1323
1400000US06085510100,Census Tract 5101; Santa Clara County; California,1117
1400000US06085510200,Census Tract 5102; Santa Clara County; California,1556
1400000US06085510300,Census Tract 5103; Santa Clara County; California,1888
1400000US06085510400,Census Tract 5104; Santa Clara County; California,1411
1400000US06085510500,Census Tract 5105; Santa Clara County; California,2086
1400000US06085510600,Census Tract 5106; Santa Clara County; California,2484
1400000US06085510700,Census Tract 5107; Santa Clara County; California,2320
