GEO_ID,NAME,P1_001N
Geography,Geographic Area Name, !!Total
1400000US06085506701,Census Tract 5067.01; Santa Clara County; California,4093
1400000US06085506702,Census Tract 5067.02; Santa Clara County; California,5956
1400000US06085506703,Census Tract 5067.03; Santa Clara County; California,3937
1400000US06085506801,Census Tract 5068.01; Santa Clara County; California,6454
1400000US06085506802,Census Tract 5068.02; Santa Clara County; California,5533
1400000US06085506803,Census Tract 5068.03; Santa Clara County; California,7357
1400000US06085506804,Census Tract 5068.04; Santa Clara County; California,3936
1400000US06085506900,Census Tract 5069; Santa Clara County; California,8031
1400000US06085507002,Census Tract 5070.02; Santa Clara County; California,3012
1400000US06085507003,Census Tract 5070.03; Santa Clara County; California,2793
1400000US06085507004,Census Tract 5070.04; Santa Clara County; California,4154
1400000US06085507100,Census Tract 5071; Santa Clara County; California,3020
1400000US06085507203,Census Tract 5072.03; Santa Clara County; California,2891
1400000US06085507205,Census Tract 5072.05; Santa Clara County; California,4853
1400000US06085507206,Census Tract 5072.06; Santa Clara County; California,2928
1400000US06085507301,Census Tract 5073.01; Santa Clara County; California,6725
1400000US06085507302,Census Tract 5073.02; Santa Clara County; California,2883
1400000US06085507401,Census Tract 5074.01; Santa Clara County; California,5709
1400000US06085507402,Census Tract 5074.02; Santa Clara County; California,4091
1400000US06085507500,Census Tract 5075; Santa Clara County; California,5984
1400000US06085507600,Census Tract 5076; Santa Clara County; California,5815
1400000US06085507701,Census Tract 5077.01; Santa Clara County; California,4092
1400000US06085507702,Census Tract 5077.02; Santa Clara County; California,6107
1400000US06085507704,Census Tract 5077.04; Santa Clara County; California,3466
1400000US06085507705,Census Tract 5077.05; Santa Clara County; California,4560
1400000US06085507805,Census Tract 5078.05; Santa Clara County; California,5180
1400000US06085507806,Census Tract 5078.06; Santa Clara County; California,5824
1400000US06085507807,Census Tract 5078.07; Santa Clara County; California,3191
1400000US06085507808,Census Tract 5078.08; Santa Clara County; California,5674
1400000US06085507903,Census Tract 5079.03; Santa Clara County; California,4888
1400000US06085507904,Census Tract 5079.04; Santa Clara County; California,3404
1400000US06085507905,Census Tract 5079.05; Santa Clara County; California,6188
1400000US06085507906,Census Tract 5079.06; Santa Clara County; California,4508
1400000US06085508003,Census Tract 5080.03; Santa Clara County; California,2266
1400000US06085508004,Census Tract 5080.04; Santa Clara County; California,6561
1400000US06085508005,Census Tract 5080.05; Santa Clara County; California,4321
1400000US06085508006,Census Tract 5080.06; Santa Clara County; California,3690
1400000US06085508101,Census Tract 5081.01; Santa Clara County; California,6726
1400000US06085508102,Census Tract 5081.02; Santa Clara County; California,4143
1400000US06085508203,Census Tract 5082.03; Santa Clara County; California,5573
1400000US06085508204,Census Tract 5082.04; Santa Clara County; California,4339
1400000US06085508205,Census Tract 5082.05; Santa Clara County; California,3862
1400000US06085508206,Census Tract 5082.06; Santa Clara County; California,4341
1400000US06085508301,Census Tract 5083.01; Santa Clara County; California,4689
1400000US06085508303,Census Tract 5083.03; Santa Clara County; California,2631
1400000US06085508305,Census Tract 5083.05; Santa Clara County; California,5103
1400000US06085508306,Census Tract 5083.06; Santa Clara County; California,3192
1400000US06085508401,Census Tract 5084.01; Santa Clara County; California,7168
1400000US06085508403,Census Tract 5084.03; Santa Clara County; California,3092
1400000US06085508404,Census Tract 5084.04; Santa Clara County; California,6884
1400000US06085508503,Census Tract 5085.03; Santa Clara County; California,6909
1400000US06085508505,Census Tract 5085.05; Santa Clara County; California,4741
1400000US06085508507,Census Tract 5085.07; Santa Clara County; California,3191
1400000US06085508508,Census Tract 5085.08; Santa Clara County; California,5894
1400000US06085508509,Census Tract 5085.09; Santa Clara County; California,4231
1400000US06085508510,Census Tract 5085.10; Santa Clara County; California,3428
1400000US06085508601,Census Tract 5086.01; Santa Clara County; California,4169
1400000US06085508602,Census Tract 5086.02; Santa Clara County; California,5461
1400000US06085508705,Census Tract 5087.05; Santa Clara County; California,4581
1400000US06085508706,Census Tract 5087.06; Santa Clara County; California,4505
1400000US06085508707,Census Tract 5087.07; Santa Clara County; California,4095
1400000US06085508708,Census Tract 5087.08; Santa Clara County; California,4653
1400000US06085508800,Census Tract 5088; Santa Clara County; California,3635
