GEO_ID,NAME,H016001,H016002,H016003,H016004,H016005,H016006,H016007,H016008,H016009,H016010,H016011,H016012,H016013,H016014,H016015,H016016,H016017
Geography,Geographic Area Name,Total,Total!!Owner occupied,Total!!Owner occupied!!1-person household,Total!!Owner occupied!!2-person household,Total!!Owner occupied!!3-person household,Total!!Owner occupied!!4-person household,Total!!Owner occupied!!5-person household,Total!!Owner occupied!!6-person household,Total!!Owner occupied!!7-or-more-person household,Total!!Renter occupied,Total!!Renter occupied!!1-person household,Total!!Renter occupied!!2-person household,Total!!Renter occupied!!3-person household,Total!!Renter occupied!!4-person household,Total!!Renter occupied!!5-person household,Total!!Renter occupied!!6-person household,Total!!Renter occupied!!7-or-more-person household
1400000US06085504315,"Census Tract 5043.15, Santa Clara County, California",1919,1507,194,381,318,323,139,92,60,412,28,71,79,102,73,27,32
1400000US06085504316,"Census Tract 5043.16, Santa Clara County, California",1364,1067,142,238,201,227,145,47,67,297,29,60,62,51,43,27,25
1400000US06085504317,"Census Tract 5043.17, Santa Clara County, California",1189,933,95,233,188,191,105,59,62,256,15,42,40,50,36,30,43
1400000US06085504318,"Census Tract 5043.18, Santa Clara County, California",1562,1366,218,342,255,269,148,69,65,196,33,51,37,36,23,5,11
1400000US06085504319,"Census Tract 5043.19, Santa Clara County, California",1982,1333,139,311,282,298,140,80,83,649,99,155,111,116,71,49,48
1400000US06085504320,"Census Tract 5043.20, Santa Clara County, California",823,695,69,187,135,140,84,44,36,128,9,20,33,25,17,13,11
1400000US06085504321,"Census Tract 5043.21, Santa Clara County, California",1510,989,134,249,181,152,109,79,85,521,70,111,120,97,53,30,40
1400000US06085504322,"Census Tract 5043.22, Santa Clara County, California",2019,793,159,269,182,115,35,23,10,1226,250,428,286,168,58,18,18
1400000US06085504323,"Census Tract 5043.23, Santa Clara County, California",1785,960,128,255,199,185,108,45,40,825,130,226,191,135,78,25,40
1400000US06085504410,"Census Tract 5044.10, Santa Clara County, California",1191,758,78,157,141,152,92,68,70,433,69,88,91,69,52,25,39
1400000US06085504411,"Census Tract 5044.11, Santa Clara County, California",1495,1195,146,297,240,220,131,82,79,300,17,51,53,58,43,39,39
1400000US06085504412,"Census Tract 5044.12, Santa Clara County, California",1272,664,66,147,141,132,90,43,45,608,44,97,134,111,96,55,71
1400000US06085504413,"Census Tract 5044.13, Santa Clara County, California",672,445,62,128,105,108,28,9,5,227,120,62,23,10,8,3,1
1400000US06085504414,"Census Tract 5044.14, Santa Clara County, California",1451,1227,106,289,288,308,126,64,46,224,18,36,39,43,45,23,20
1400000US06085504415,"Census Tract 5044.15, Santa Clara County, California",1502,1308,137,299,345,297,109,61,60,194,15,24,40,46,30,20,19
1400000US06085504416,"Census Tract 5044.16, Santa Clara County, California",1056,761,89,186,172,177,70,32,35,295,29,64,55,68,40,17,22
1400000US06085504417,"Census Tract 5044.17, Santa Clara County, California",106,91,6,31,26,15,7,3,3,15,3,5,3,1,2,1,0
1400000US06085504418,"Census Tract 5044.18, Santa Clara County, California",1273,687,106,156,130,115,70,37,73,586,41,87,133,113,93,47,72
1400000US06085504420,"Census Tract 5044.20, Santa Clara County, California",1337,959,74,278,198,220,90,60,39,378,48,83,75,75,55,19,23
1400000US06085504421,"Census Tract 5044.21, Santa Clara County, California",1316,1081,101,267,225,244,109,70,65,235,16,38,55,42,37,20,27
1400000US06085504422,"Census Tract 5044.22, Santa Clara County, California",997,640,62,114,128,146,80,51,59,357,70,70,77,61,38,14,27
1400000US06085504423,"Census Tract 5044.23, Santa Clara County, California",635,490,39,134,105,86,55,30,41,145,13,21,21,33,26,14,17
1400000US06085504504,"Census Tract 5045.04, Santa Clara County, California",2637,1456,243,435,397,232,92,43,14,1181,215,367,301,195,63,27,13
1400000US06085504505,"Census Tract 5045.05, Santa Clara County, California",1258,918,130,234,173,186,78,53,64,340,26,52,83,83,49,13,34
1400000US06085504506,"Census Tract 5045.06, Santa Clara County, California",2075,1071,218,307,224,190,59,47,26,1004,171,259,268,191,76,26,13
1400000US06085504507,"Census Tract 5045.07, Santa Clara County, California",1654,1084,138,250,211,232,111,63,79,570,71,131,109,113,75,35,36
1400000US06085504601,"Census Tract 5046.01, Santa Clara County, California",346,296,106,89,46,27,17,7,4,50,15,17,9,5,1,0,3
1400000US06085504602,"Census Tract 5046.02, Santa Clara County, California",601,343,44,72,70,64,35,21,37,258,53,57,46,38,26,13,25
1400000US06085504700,"Census Tract 5047, Santa Clara County, California",182,1,0,0,1,0,0,0,0,181,5,18,40,63,36,12,7
1400000US06085504802,"Census Tract 5048.02, Santa Clara County, California",1751,1141,276,316,170,187,74,42,76,610,122,176,148,65,41,26,32
1400000US06085504803,"Census Tract 5048.03, Santa Clara County, California",2467,1228,325,443,235,122,50,26,27,1239,445,385,241,114,29,13,12
1400000US06085504805,"Census Tract 5048.05, Santa Clara County, California",2282,2034,611,753,303,207,100,39,21,248,78,99,41,18,5,4,3
1400000US06085504806,"Census Tract 5048.06, Santa Clara County, California",755,535,61,119,95,102,62,38,58,220,25,40,33,46,32,16,28
1400000US06085504901,"Census Tract 5049.01, Santa Clara County, California",3962,1501,253,470,355,325,63,25,10,2461,741,948,439,230,79,16,8
1400000US06085505001,"Census Tract 5050.01, Santa Clara County, California",3519,1541,197,395,340,329,133,75,72,1978,651,654,305,191,87,48,42
1400000US06085505006,"Census Tract 5050.06, Santa Clara County, California",1950,633,242,212,100,67,11,0,1,1317,501,478,243,78,17,0,0
1400000US06085505007,"Census Tract 5050.07, Santa Clara County, California",960,631,76,177,108,120,56,47,47,329,37,43,42,60,54,39,54
1400000US06085505008,"Census Tract 5050.08, Santa Clara County, California",2602,7,4,3,0,0,0,0,0,2595,858,1091,433,172,34,6,1
1400000US06085505009,"Census Tract 5050.09, Santa Clara County, California",2321,1191,236,344,255,181,89,49,37,1130,287,400,216,120,63,28,16
1400000US06085505100,"Census Tract 5051, Santa Clara County, California",1409,531,197,186,70,42,21,9,6,878,378,273,96,60,44,16,11
1400000US06085505202,"Census Tract 5052.02, Santa Clara County, California",2080,600,185,180,90,74,36,15,20,1480,389,358,270,204,126,68,65
1400000US06085505203,"Census Tract 5052.03, Santa Clara County, California",1452,658,164,249,136,69,24,9,7,794,267,269,124,56,42,16,20
1400000US06085505301,"Census Tract 5053.01, Santa Clara County, California",1323,591,81,176,113,90,60,31,40,732,122,162,148,129,77,48,46
1400000US06085505302,"Census Tract 5053.02, Santa Clara County, California",1420,1034,224,326,203,172,57,31,21,386,104,82,56,61,37,21,25
1400000US06085505303,"Census Tract 5053.03, Santa Clara County, California",2103,896,283,295,131,109,42,22,14,1207,228,294,233,202,133,67,50
1400000US06085505304,"Census Tract 5053.04, Santa Clara County, California",1069,883,158,257,159,185,68,33,23,186,20,41,46,44,18,9,8
1400000US06085505305,"Census Tract 5053.05, Santa Clara County, California",2036,1180,220,422,204,204,70,37,23,856,231,247,162,116,57,23,20
1400000US06085505401,"Census Tract 5054.01, Santa Clara County, California",2375,664,163,192,116,100,45,28,20,1711,469,578,361,198,56,32,17
