"GEO_ID","NAME","P001001",
"Geography","Geographic Area Name","Total",
"1400000US06085506601","Census Tract 5066.01, Santa Clara County, California","4482",
"1400000US06085506603","Census Tract 5066.03, Santa Clara County, California","4070",
"1400000US06085506604","Census Tract 5066.04, Santa Clara County, California","7324",
"1400000US06085506605","Census Tract 5066.05, Santa Clara County, California","3941",
"1400000US06085506606","Census Tract 5066.06, Santa Clara County, California","4453",
"1400000US06085506701","Census Tract 5067.01, Santa Clara County, California","3954",
"1400000US06085506702","Census Tract 5067.02, Santa Clara County, California","5455",
"1400000US06085506703","Census Tract 5067.03, Santa Clara County, California","3625",
"1400000US06085506801","Census Tract 5068.01, Santa Clara County, California","5871",
"1400000US06085506802","Census Tract 5068.02, Santa Clara County, California","5237",
"1400000US06085506803","Census Tract 5068.03, Santa Clara County, California","6883",
"1400000US06085506804","Census Tract 5068.04, Santa Clara County, California","3629",
"1400000US06085506900","Census Tract 5069, Santa Clara County, California","7436",
"1400000US06085507001","Census Tract 5070.01, Santa Clara County, California","6504",
"1400000US06085507002","Census Tract 5070.02, Santa Clara County, California","2800",
"1400000US06085507100","Census Tract 5071, Santa Clara County, California","2683",
"1400000US06085507203","Census Tract 5072.03, Santa Clara County, California","2632",
"1400000US06085507205","Census Tract 5072.05, Santa Clara County, California","4475",
"1400000US06085507206","Census Tract 5072.06, Santa Clara County, California","2724",
"1400000US06085507301","Census Tract 5073.01, Santa Clara County, California","6555",
"1400000US06085507302","Census Tract 5073.02, Santa Clara County, California","2725",
"1400000US06085507401","Census Tract 5074.01, Santa Clara County, California","5624",
"1400000US06085507402","Census Tract 5074.02, Santa Clara County, California","3881",
"1400000US06085507500","Census Tract 5075, Santa Clara County, California","5810",
"1400000US06085507600","Census Tract 5076, Santa Clara County, California","5563",
"1400000US06085507701","Census Tract 5077.01, Santa Clara County, California","4039",
"1400000US06085507702","Census Tract 5077.02, Santa Clara County, California","6126",
"1400000US06085507703","Census Tract 5077.03, Santa Clara County, California","7706",
"1400000US06085507805","Census Tract 5078.05, Santa Clara County, California","5397",
"1400000US06085507806","Census Tract 5078.06, Santa Clara County, California","5889",
"1400000US06085507807","Census Tract 5078.07, Santa Clara County, California","3219",
"1400000US06085507808","Census Tract 5078.08, Santa Clara County, California","5508",
"1400000US06085507903","Census Tract 5079.03, Santa Clara County, California","4828",
"1400000US06085507904","Census Tract 5079.04, Santa Clara County, California","3367",
"1400000US06085507905","Census Tract 5079.05, Santa Clara County, California","5784",
"1400000US06085507906","Census Tract 5079.06, Santa Clara County, California","4460",
"1400000US06085508001","Census Tract 5080.01, Santa Clara County, California","7377",
"1400000US06085508003","Census Tract 5080.03, Santa Clara County, California","2222",
"1400000US06085508004","Census Tract 5080.04, Santa Clara County, California","6090",
"1400000US06085508101","Census Tract 5081.01, Santa Clara County, California","6740",
"1400000US06085508102","Census Tract 5081.02, Santa Clara County, California","3321",
"1400000US06085508202","Census Tract 5082.02, Santa Clara County, California","7684",
"1400000US06085508203","Census Tract 5082.03, Santa Clara County, California","5172",
"1400000US06085508204","Census Tract 5082.04, Santa Clara County, California","4194",
"1400000US06085508301","Census Tract 5083.01, Santa Clara County, California","4410",
"1400000US06085508303","Census Tract 5083.03, Santa Clara County, California","2562",
"1400000US06085508304","Census Tract 5083.04, Santa Clara County, California","7957",
"1400000US06085508401","Census Tract 5084.01, Santa Clara County, California","6834",
"1400000US06085508403","Census Tract 5084.03, Santa Clara County, California","2817",
"1400000US06085508404","Census Tract 5084.04, Santa Clara County, California","6023",
"1400000US06085508503","Census Tract 5085.03, Santa Clara County, California","6506",
"1400000US06085508504","Census Tract 5085.04, Santa Clara County, California","7701",
"1400000US06085508505","Census Tract 5085.05, Santa Clara County, California","4392",
"1400000US06085508507","Census Tract 5085.07, Santa Clara County, California","3066",
"1400000US06085508508","Census Tract 5085.08, Santa Clara County, California","5322",
"1400000US06085508601","Census Tract 5086.01, Santa Clara County, California","3668",
"1400000US06085508602","Census Tract 5086.02, Santa Clara County, California","3839",
"1400000US06085508703","Census Tract 5087.03, Santa Clara County, California","7572",
"1400000US06085508704","Census Tract 5087.04, Santa Clara County, California","5227",
"1400000US06085508800","Census Tract 5088, Santa Clara County, California","3766",
"1400000US06085508900","Census Tract 5089, Santa Clara County, California","5273",
"1400000US06085509000","Census Tract 5090, Santa Clara County, California","7407",
"1400000US06085509102","Census Tract 5091.02, Santa Clara County, California","4798",
"1400000US06085509105","Census Tract 5091.05, Santa Clara County, California","6396",
"1400000US06085509106","Census Tract 5091.06, Santa Clara County, California","4171",
"1400000US06085509107","Census Tract 5091.07, Santa Clara County, California","4892",
"1400000US06085509108","Census Tract 5091.08, Santa Clara County, California","4281",
"1400000US06085509109","Census Tract 5091.09, Santa Clara County, California","4346",
"1400000US06085509201","Census Tract 5092.01, Santa Clara County, California","4603",
"1400000US06085509202","Census Tract 5092.02, Santa Clara County, California","4480",
"1400000US06085509302","Census Tract 5093.02, Santa Clara County, California","2978",
"1400000US06085509303","Census Tract 5093.03, Santa Clara County, California","3706",
"1400000US06085509304","Census Tract 5093.04, Santa Clara County, California","2871",
"1400000US06085509401","Census Tract 5094.01, Santa Clara County, California","3212",
"1400000US06085509403","Census Tract 5094.03, Santa Clara County, California","5121",
"1400000US06085509404","Census Tract 5094.04, Santa Clara County, California","6076",
"1400000US06085509500","Census Tract 5095, Santa Clara County, California","5565",
"1400000US06085509600","Census Tract 5096, Santa Clara County, California","2625",
"1400000US06085509700","Census Tract 5097, Santa Clara County, California","3128",
"1400000US06085509801","Census Tract 5098.01, Santa Clara County, California","5274",
"1400000US06085509802","Census Tract 5098.02, Santa Clara County, California","2719",
"1400000US06085509901","Census Tract 5099.01, Santa Clara County, California","1934",
"1400000US06085509902","Census Tract 5099.02, Santa Clara County, California","4838",
"1400000US06085510001","Census Tract 5100.01, Santa Clara County, California","6116",
"1400000US06085510002","Census Tract 5100.02, Santa Clara County, California","3553",
"1400000US06085510100","Census Tract 5101, Santa Clara County, California","2948",
"1400000US06085510200","Census Tract 5102, Santa Clara County, California","4328",
"1400000US06085510300","Census Tract 5103, Santa Clara County, California","4020",
"1400000US06085510400","Census Tract 5104, Santa Clara County, California","3131",
"1400000US06085510500","Census Tract 5105, Santa Clara County, California","4688",
"1400000US06085510600","Census Tract 5106, Santa Clara County, California","6139",
"1400000US06085510700","Census Tract 5107, Santa Clara County, California","4775",
"1400000US06085510801","Census Tract 5108.01, Santa Clara County, California","5290",
"1400000US06085510802","Census Tract 5108.02, Santa Clara County, California","1840",
"1400000US06085510803","Census Tract 5108.03, Santa Clara County, California","2558",
"1400000US06085510900","Census Tract 5109, Santa Clara County, California","5354",
"1400000US06085511000","Census Tract 5110, Santa Clara County, California","6402",
"1400000US06085511100","Census Tract 5111, Santa Clara County, California","5445",
"1400000US06085511200","Census Tract 5112, Santa Clara County, California","4849",
"1400000US06085511301","Census Tract 5113.01, Santa Clara County, California","3671",
"1400000US06085511302","Census Tract 5113.02, Santa Clara County, California","4062",
"1400000US06085511400","Census Tract 5114, Santa Clara County, California","3639",
"1400000US06085511500","Census Tract 5115, Santa Clara County, California","7513",
"1400000US06085511608","Census Tract 5116.08, Santa Clara County, California","2687",
"1400000US06085511609","Census Tract 5116.09, Santa Clara County, California","3183",
"1400000US06085511701","Census Tract 5117.01, Santa Clara County, California","4017",
"1400000US06085511702","Census Tract 5117.02, Santa Clara County, California","2684",
"1400000US06085511704","Census Tract 5117.04, Santa Clara County, California","4520",
"1400000US06085511705","Census Tract 5117.05, Santa Clara County, California","995",
"1400000US06085511707","Census Tract 5117.07, Santa Clara County, California","3009",
"1400000US06085511800","Census Tract 5118, Santa Clara County, California","4009",
"1400000US06085511905","Census Tract 5119.05, Santa Clara County, California","3129",
"1400000US06085511907","Census Tract 5119.07, Santa Clara County, California","3988",
"1400000US06085511909","Census Tract 5119.09, Santa Clara County, California","7997",
"1400000US06085511910","Census Tract 5119.10, Santa Clara County, California","3042",
"1400000US06085511911","Census Tract 5119.11, Santa Clara County, California","4806",
"1400000US06085511912","Census Tract 5119.12, Santa Clara County, California","5440",
"1400000US06085511913","Census Tract 5119.13, Santa Clara County, California","4295",
"1400000US06085511914","Census Tract 5119.14, Santa Clara County, California","5684",
"1400000US06085511915","Census Tract 5119.15, Santa Clara County, California","3806",
"1400000US06085511916","Census Tract 5119.16, Santa Clara County, California","4669",
"1400000US06085512001","Census Tract 5120.01, Santa Clara County, California","6774",
"1400000US06085512005","Census Tract 5120.05, Santa Clara County, California","6711",
"1400000US06085512017","Census Tract 5120.17, Santa Clara County, California","7804",
"1400000US06085512019","Census Tract 5120.19, Santa Clara County, California","4737",
"1400000US06085512020","Census Tract 5120.20, Santa Clara County, California","6858",
"1400000US06085512021","Census Tract 5120.21, Santa Clara County, California","6087",
"1400000US06085512022","Census Tract 5120.22, Santa Clara County, California","5374",
"1400000US06085512023","Census Tract 5120.23, Santa Clara County, California","5418",
"1400000US06085512024","Census Tract 5120.24, Santa Clara County, California","4670",
"1400000US06085512025","Census Tract 5120.25, Santa Clara County, California","3203",
"1400000US06085512026","Census Tract 5120.26, Santa Clara County, California","3871",
"1400000US06085512027","Census Tract 5120.27, Santa Clara County, California","4085",
"1400000US06085512029","Census Tract 5120.29, Santa Clara County, California","6892",
"1400000US06085512030","Census Tract 5120.30, Santa Clara County, California","3074",
"1400000US06085512031","Census Tract 5120.31, Santa Clara County, California","4406",
"1400000US06085512032","Census Tract 5120.32, Santa Clara County, California","3389",
